지역,일반인,어린이,청소년,기타
서울,3711168,36098,259128,417539
부산,869160,8097,75137,
대구,468819,5548,73150,51
인천,634790,7271,74764,58638
광주,204102,2624,35991,3253
대전,231496,2139,29237,9207
울산,131211,2559,18519,210
세종,20341,189,2147,
경기,2518216,28941,269178,165303
강원,66733,2373,15773,855
충북,100188,839,16344,
충남,116865,3636,27802,310
전북,100884,925,16638,
전남,99319,1770,19034,
경북,138796,2101,24918,
경남,218590,2791,32391,
제주,48934,1940,12134,
