,제목,내용,이미지 URL
0,창경궁 자격루 항아리,"‘스스로 치는 시계’라는 뜻의 자격루는 물의 증가나 감소에 따라 자동으로 시각을 알려주는 첨단 물시계로, 조선 시대의 국가 표준시계였다. 자격루 누기는 자격루를 구성하는 장치들 중...",https://www.gogung.go.kr/cmmn/file/imageSrc.do?atchFileId=00022463TB&fileSn=1&thumb=Y
1,조선왕조실록 오대산 사고본,『조선왕조실록(朝鮮王朝實錄)』은 조선 태조에서부터 조선 철종 때까지 25대 472년간(1392∼1863)의 역사를 일어난 순서대로 기록한 책이다. 이 중 오대산사고본(五臺山史庫本)...,https://www.gogung.go.kr/cmmn/file/imageSrc.do?atchFileId=00018144HF&fileSn=1&thumb=Y
