,순위,제목,URL
0,1위,SK텔레콤의 재평가 가능성 I 길고 긴 하락 멈출까? I Analyst 직격 인터뷰 ,https://www.bloter.net/newsView/blt202302060016
1,2위,"구글, 대화형 AI '바드' 발표…챗GPT 경쟁 본격 시동",https://www.bloter.net/newsView/blt202302070001
2,3위,애플페이 국내 출시 초읽기...갤럭시 쓰는 Z세대 관심도는 '미미',https://www.bloter.net/newsView/blt202302070004
3,4위,"당근마켓 ""승우아빠, 이용자 사과부터""",https://www.bloter.net/newsView/blt202302070011
4,5위,"풍문이 사실로…카카오, SM엔터 지분 9% 확보해 '2대 주주'됐다",https://www.bloter.net/newsView/blt202302070006
